SUT,SOFOT,FIC,FICBS,BEN,IterAIFL,TRT,ComFIL,NoPend
dia,0.5,0.262,0.236,-,-,0.0,0.0,0.0
apache1,0.238,0.7055,0.6875,-,-,0.0,0.0,0.0
busybox,0.01,0.13867,0.12667,-,-,0.0,0.0,0.0
linux,0.25958,0.76095,0.76455,-,-,0.0,-,0.0
vim1,0.06625,0.93525,0.93325,-,-,0.0,-,0.0
apache2,0.497,0.499,0.53,-,-,-,-,0.0
gnuplot,0.1245,0.868,0.8785,-,-,-,-,0.0
bash1,0.3935,0.738,0.7595,-,-,-,-,0.0
vim2,0.514,0.524,0.491,-,-,-,-,0.0
vim3,0.4004,0.7218,0.7144,-,-,-,-,0.0
bash2,0.527,0.506,0.513,-,-,-,-,0.0
xterm,0.4042,0.6776,0.6684,-,-,-,-,0.0
