SUT,SOFOT,FIC,FICBS,BEN,IterAIFL,TRT,ComFIL,NoPend
dia,0.535,0.242,0.238,-,-,0.0,0.0,0.0
apache1,0.233,0.719,0.708,-,-,0.0,0.0,0.0
busybox,0.01067,0.13533,0.125,-,-,0.0,0.0,0.0
linux,0.2575,0.75765,0.7593,-,-,0.0,-,0.0
vim1,0.0575,0.9365,0.9375,-,-,0.0,-,0.0
apache2,0.483,0.496,0.501,-,-,-,-,0.0
gnuplot,0.129,0.875,0.879,-,-,-,-,0.0
bash1,0.366,0.7495,0.7485,-,-,-,-,0.0
vim2,0.477,0.496,0.492,-,-,-,-,0.0
vim3,0.4064,0.7114,0.7106,-,-,-,-,0.0
bash2,0.5,0.502,0.495,-,-,-,-,0.0
xterm,0.4002,0.662,0.675,-,-,-,-,0.0
