SUT,SOFOT,FIC,FICBS,BEN,IterAIFL,TRT,ComFIL,NoPend
dia,0.528,0.249,0.229,-,-,0.0,0.0,0.0
apache1,0.22,0.71,0.701,-,-,0.0,0.0,0.0
busybox,0.01167,0.13833,0.136,-,-,0.0,0.0,0.0
linux,0.25615,0.76177,0.76508,-,-,0.0,-,0.0
vim1,0.06025,0.93425,0.93825,-,-,0.0,-,0.0
apache2,0.483,0.507,0.513,-,-,-,-,0.0
gnuplot,0.1155,0.8715,0.8705,-,-,-,-,0.0
bash1,0.3755,0.745,0.735,-,-,-,-,0.0
vim2,0.502,0.491,0.497,-,-,-,-,0.0
vim3,0.3944,0.7038,0.7076,-,-,-,-,0.0
bash2,0.491,0.521,0.483,-,-,-,-,0.0
xterm,0.3954,0.6804,0.6708,-,-,-,-,0.0
