SUT,SOFOT,FIC,FICBS,BEN,IterAIFL,TRT,ComFIL,NoPend
dia,0.127,0.306,0.267,27.873,28.986,1.572,28.022,1.393
apache1,0.361,0.460,0.711,34.978,50.909,8.449,40.882,3.393
busybox,0.395,0.625,0.844,73.212,117.581,20.160,86.201,5.484
linux,2.541,3.380,4.058,117159.727,-,48811.077,-,13.699
vim1,0.978,1.172,1.640,847.898,-,59501.776,-,5.876
apache2,0.676,0.973,0.709,35.554,-,-,-,3.627
gnuplot,1.433,2.180,1.396,2671.137,-,-,-,11.002
bash1,1.754,2.426,1.447,523.091,-,-,-,11.434
vim2,1.538,1.811,0.661,46.983,-,-,-,10.179
vim3,6.886,9.052,5.621,28336.343,-,-,-,35.631
bash2,4.432,5.472,1.204,74.705,-,-,-,16.795
xterm,14.460,14.622,8.387,-,-,-,-,61.113
