parameter,name
0,CONFIG_SU
1,CONFIG_LOGIN
2,IF_WE_WANT_TO_REQUIRE_LOGIN
3,ENABLE_FEATURE_FTP_AUTHENTICATION
4,CONFIG_FTPD
5,WHY_BOTHER_WE_CAN_ASSUME_IP_MATCHES
6,CONFIG_SULOGIN
7,ENABLE_FEATURE_FTP_WRITE
8,BB_MMU
9,CONFIG_VLOCK
