SUT,SOFOT,FIC,FICBS,BEN,IterAIFL,TRT,ComFIL,NoPend
dia,0.114,0.258,0.841,29.544,27.885,1.446,26.613,1.259
apache1,0.305,0.474,0.584,32.735,55.667,7.122,45.034,3.023
busybox,0.295,0.530,0.873,71.959,120.015,18.486,82.125,4.617
linux,2.108,2.964,3.876,102187.341,-,50184.202,-,14.277
vim1,0.913,1.145,1.589,821.961,-,45788.397,-,5.899
apache2,1.183,0.690,0.650,34.410,-,-,-,3.746
gnuplot,1.252,1.701,1.590,2620.943,-,-,-,9.040
bash1,1.713,2.911,1.538,470.681,-,-,-,8.362
vim2,1.350,1.996,0.747,42.374,-,-,-,8.813
vim3,6.612,8.817,4.804,26830.642,-,-,-,34.206
bash2,4.236,5.831,1.358,62.922,-,-,-,18.568
xterm,15.282,14.420,8.071,-,-,-,-,56.802
