SUT,SOFOT,FIC,FICBS,BEN,IterAIFL,TRT,ComFIL,NoPend
dia,0.501,0.248,0.233,-,-,0.0,0.0,0.0
apache1,0.223,0.7065,0.6995,-,-,0.0,0.0,0.0
busybox,0.01033,0.13533,0.125,-,-,0.0,0.0,0.0
linux,0.25875,0.75778,0.76155,-,-,0.0,-,0.0
vim1,0.06275,0.93275,0.937,-,-,0.0,-,0.0
apache2,0.49,0.488,0.504,-,-,-,-,0.0
gnuplot,0.1245,0.8865,0.875,-,-,-,-,0.0
bash1,0.381,0.752,0.7405,-,-,-,-,0.0
vim2,0.472,0.493,0.488,-,-,-,-,0.0
vim3,0.3978,0.7168,0.7162,-,-,-,-,0.0
bash2,0.486,0.508,0.478,-,-,-,-,0.0
xterm,0.407,0.67,0.6714,-,-,-,-,0.0
