SUT,SOFOT,FIC,FICBS,BEN,IterAIFL,TRT,ComFIL,NoPend
dia,0.489,0.275,0.24,-,-,0.0,0.0,0.0
apache1,0.2115,0.7045,0.6965,-,-,0.0,0.0,0.0
busybox,0.01,0.131,0.12533,-,-,0.0,0.0,0.0
linux,0.2574,0.7585,0.76245,-,-,0.0,-,0.0
vim1,0.0645,0.935,0.93375,-,-,0.0,-,0.0
apache2,0.523,0.516,0.499,-,-,-,-,0.0
gnuplot,0.1195,0.865,0.8795,-,-,-,-,0.0
bash1,0.388,0.7455,0.7625,-,-,-,-,0.0
vim2,0.494,0.464,0.509,-,-,-,-,0.0
vim3,0.3964,0.712,0.7108,-,-,-,-,0.0
bash2,0.511,0.492,0.487,-,-,-,-,0.0
xterm,0.3976,0.6734,0.671,-,-,-,-,0.0
