SUT,SOFOT,FIC,FICBS,BEN,IterAIFL,TRT,ComFIL,NoPend
dia,0.127,0.303,0.447,32.485,29.364,1.833,28.765,1.398
apache1,0.334,0.654,0.712,51.177,56.210,7.242,38.782,3.211
busybox,0.341,0.461,0.856,89.895,111.485,19.764,82.404,5.412
linux,2.317,3.181,4.296,99842.591,-,63268.631,-,14.155
vim1,1.405,1.336,1.280,840.911,-,44986.741,-,5.889
apache2,0.776,0.834,0.806,35.520,-,-,-,4.045
gnuplot,1.590,1.880,1.924,2653.361,-,-,-,9.392
bash1,1.952,2.853,1.520,456.838,-,-,-,10.196
vim2,1.825,1.435,0.822,46.749,-,-,-,9.213
vim3,7.802,7.357,5.799,26383.377,-,-,-,35.401
bash2,4.854,5.870,1.920,66.912,-,-,-,19.206
xterm,14.572,17.808,8.375,-,-,-,-,60.645
