parameter,name
0,LUA_CPATH
1,LUA_COMPAT_MODULE
2,__APPLE__
3,__BSD__
4,LUA_EXEC_DIR
5,LUA_LLE_FLAGS
6,LUA_LSUBSEP
7,__sun
8,__FreeBSD__
9,LUA_PATH_SEP
10,LUA_IGMARK
11,LUA_USE_DLOPEN
12,LUA_DL_DLL
13,__CYGWIN__
14,LUA_PATH_MARK
15,LUA_COMPAT_LOADERS
16,_WIN32
17,LUA_PATH
18,__linux__
19,LUA_CSUBSEP
