parameter,name
0,HAVE_OPENSSL_EC_H
1,HAVE_OPENSSL_ECC
2,HAVE_OPENSSL_ECDSA_H
3,_PKI_CRYPTO_H
4,WITH_SERVER
5,DEBUG_CRYPTO
