SUT,SOFOT,FIC,FICBS,BEN,IterAIFL,TRT,ComFIL,NoPend
dia,0.525,0.262,0.25,-,-,0.0,0.0,0.0
apache1,0.223,0.6955,0.6895,-,-,0.0,0.0,0.0
busybox,0.00867,0.14033,0.136,-,-,0.0,0.0,0.0
linux,0.26118,0.76017,0.76157,-,-,0.0,-,0.0
vim1,0.07125,0.9415,0.9355,-,-,0.0,-,0.0
apache2,0.491,0.473,0.509,-,-,-,-,0.0
gnuplot,0.1215,0.872,0.8765,-,-,-,-,0.0
bash1,0.3745,0.7485,0.7325,-,-,-,-,0.0
vim2,0.521,0.516,0.504,-,-,-,-,0.0
vim3,0.407,0.6996,0.713,-,-,-,-,0.0
bash2,0.489,0.51,0.496,-,-,-,-,0.0
xterm,0.3842,0.6812,0.6736,-,-,-,-,0.0
