SUT,SOFOT,FIC,FICBS,BEN,IterAIFL,TRT,ComFIL,NoPend
dia,0.123,0.760,0.331,29.720,31.604,1.770,26.996,1.218
apache1,0.326,0.619,0.722,34.886,60.460,9.109,40.799,2.842
busybox,1.567,0.957,0.965,74.293,126.159,19.953,83.382,4.606
linux,2.425,3.370,6.047,115682.872,-,49264.701,-,14.823
vim1,1.004,1.264,2.435,907.129,-,46489.338,-,5.586
apache2,0.620,0.888,0.578,35.809,-,-,-,3.212
gnuplot,1.420,1.375,3.156,2746.574,-,-,-,8.604
bash1,2.752,1.712,1.522,536.328,-,-,-,8.493
vim2,0.958,1.469,1.080,46.103,-,-,-,9.537
vim3,6.429,8.887,5.725,28075.919,-,-,-,36.249
bash2,4.593,5.698,1.520,71.606,-,-,-,19.365
xterm,14.173,16.224,8.048,-,-,-,-,55.712
