parameter,name
0,PROC_PAGE_MONITOR
1,CONFIG_BLK_DEV_INITRD
2,CONFIG_DEBUG_RODATA
3,CONFIG_PARISC_PAGE_SIZE_4KB
4,PTRS_PER_PMD
5,CONFIG_PA11
6,CONFIG_PA20
7,CONFIG_DISCONTIGMEM
8,CONFIG_HPUX
9,CONFIG_SMP
10,CONFIG_DEBUG_KERNEL
11,KERNEL_MAP_START
12,GATEWAY_PAGE_SIZE
13,PT_NLEVELS
14,CONFIG_64BIT
