parameter,name
0,CONFIG_MODULES
1,CONFIG_PRINTK
2,CONFIG_SYSFS_DEPRECATED
3,CONFIG_BLOCK
4,CONFIG_SYSFS_DEPRECATED_V2
5,HOTPLUG
