SUT,SOFOT,FIC,FICBS,BEN,IterAIFL,TRT,ComFIL,NoPend
dia,0.121,0.224,0.335,27.192,28.380,1.415,28.330,1.237
apache1,0.263,0.440,0.724,33.648,54.229,7.726,41.299,3.440
busybox,0.300,0.597,0.853,73.597,122.296,19.873,82.444,4.994
linux,2.086,3.373,3.652,101496.905,-,67550.560,-,16.407
vim1,0.826,1.288,1.509,851.672,-,45133.596,-,6.974
apache2,0.561,0.782,0.726,36.071,-,-,-,3.625
gnuplot,1.327,1.674,1.658,2594.615,-,-,-,8.573
bash1,1.855,2.482,1.608,452.374,-,-,-,10.715
vim2,1.352,1.948,0.640,51.695,-,-,-,9.450
vim3,6.634,9.498,5.399,26040.760,-,-,-,38.499
bash2,4.343,5.457,1.377,67.537,-,-,-,19.050
xterm,14.262,14.834,8.738,-,-,-,-,71.083
