SUT,SOFOT,FIC,FICBS,BEN,IterAIFL,TRT,ComFIL,NoPend
dia,0.526,0.262,0.255,-,-,0.0,0.0,0.0
apache1,0.215,0.6885,0.7,-,-,0.0,0.0,0.0
busybox,0.009,0.13,0.13567,-,-,0.0,0.0,0.0
linux,0.25943,0.75897,0.76093,-,-,0.0,-,0.0
vim1,0.06,0.93025,0.937,-,-,0.0,-,0.0
apache2,0.511,0.464,0.486,-,-,-,-,0.0
gnuplot,0.1325,0.8635,0.87,-,-,-,-,0.0
bash1,0.352,0.738,0.744,-,-,-,-,0.0
vim2,0.545,0.489,0.506,-,-,-,-,0.0
vim3,0.386,0.7094,0.7184,-,-,-,-,0.0
bash2,0.502,0.482,0.49,-,-,-,-,0.0
xterm,0.4078,0.6666,0.6794,-,-,-,-,0.0
