SUT,SOFOT,FIC,FICBS,BEN,IterAIFL,TRT,ComFIL,NoPend
dia,0.109,0.311,0.336,28.019,1058.185,1.810,27.037,1.305
apache1,0.276,0.442,0.937,37.916,53.401,8.287,38.684,3.080
busybox,0.301,0.892,0.909,71.939,117.982,20.612,82.549,5.255
linux,2.276,3.403,3.630,101230.874,-,49459.204,-,13.634
vim1,0.870,1.032,1.611,853.369,-,59384.210,-,6.682
apache2,0.577,0.761,0.636,35.382,-,-,-,3.739
gnuplot,1.261,1.962,1.569,2569.476,-,-,-,8.531
bash1,1.171,2.359,1.410,454.656,-,-,-,9.267
vim2,1.378,1.884,0.779,45.734,-,-,-,9.751
vim3,6.771,8.675,5.585,26130.064,-,-,-,36.537
bash2,2.880,5.816,1.498,67.053,-,-,-,19.373
xterm,13.724,15.035,8.698,-,-,-,-,59.878
