SUT,SOFOT,FIC,FICBS,BEN,IterAIFL,TRT,ComFIL,NoPend
dia,0.5,0.241,0.247,-,-,0.0,0.0,0.0
apache1,0.2135,0.7075,0.6795,-,-,0.0,0.0,0.0
busybox,0.00733,0.12367,0.12733,-,-,0.0,0.0,0.0
linux,0.26118,0.76325,0.7594,-,-,0.0,-,0.0
vim1,0.067,0.926,0.93625,-,-,0.0,-,0.0
apache2,0.519,0.491,0.495,-,-,-,-,0.0
gnuplot,0.1225,0.881,0.873,-,-,-,-,0.0
bash1,0.3585,0.756,0.7445,-,-,-,-,0.0
vim2,0.515,0.453,0.52,-,-,-,-,0.0
vim3,0.4018,0.7214,0.7114,-,-,-,-,0.0
bash2,0.486,0.523,0.515,-,-,-,-,0.0
xterm,0.3998,0.6882,0.6876,-,-,-,-,0.0
