SUT,SOFOT,FIC,FICBS,BEN,IterAIFL,TRT,ComFIL,NoPend
dia,0.113,0.283,0.283,28.063,27.266,1.466,26.541,1.146
apache1,0.275,0.431,0.606,34.034,55.865,7.275,40.276,2.957
busybox,0.270,0.527,0.670,74.772,116.681,18.500,80.194,5.911
linux,2.156,3.479,3.763,100773.069,-,49675.950,-,15.317
vim1,0.863,1.141,1.771,828.125,-,45375.608,-,8.077
apache2,0.572,0.671,0.503,33.915,-,-,-,3.045
gnuplot,1.264,1.812,1.670,2606.762,-,-,-,9.703
bash1,1.892,2.229,1.302,471.431,-,-,-,10.734
vim2,1.486,1.769,0.848,45.237,-,-,-,10.798
vim3,6.555,8.853,5.355,27039.914,-,-,-,38.239
bash2,4.436,5.638,1.256,62.936,-,-,-,17.876
xterm,13.208,14.544,8.012,-,-,-,-,54.857
