SUT,SOFOT,FIC,FICBS,BEN,IterAIFL,TRT,ComFIL,NoPend
dia,0.167,0.269,0.313,30.624,34.280,1.747,28.148,1.267
apache1,0.411,0.797,0.892,39.267,50.482,8.164,40.092,3.439
busybox,0.606,0.752,0.824,89.168,135.925,20.571,80.146,5.195
linux,2.442,3.370,3.764,118370.383,-,48904.142,-,14.083
vim1,1.300,1.428,2.685,865.530,-,43648.092,-,7.261
apache2,0.625,1.066,1.995,41.432,-,-,-,3.797
gnuplot,1.348,1.854,1.101,2661.655,-,-,-,8.395
bash1,1.658,1.702,1.613,513.901,-,-,-,9.852
vim2,1.417,1.958,0.879,52.456,-,-,-,9.174
vim3,6.655,9.048,3.854,27600.275,-,-,-,38.276
bash2,4.809,8.766,1.485,71.690,-,-,-,22.642
xterm,14.870,15.859,8.711,-,-,-,-,68.854
