SUT,SOFOT,FIC,FICBS,BEN,IterAIFL,TRT,ComFIL,NoPend
dia,0.509,0.24,0.256,-,-,0.0,0.0,0.0
apache1,0.2185,0.6975,0.689,-,-,0.0,0.0,0.0
busybox,0.01167,0.12333,0.13033,-,-,0.0,0.0,0.0
linux,0.25923,0.76115,0.76098,-,-,0.0,-,0.0
vim1,0.06425,0.92975,0.9335,-,-,0.0,-,0.0
apache2,0.494,0.503,0.5,-,-,-,-,0.0
gnuplot,0.1165,0.8705,0.8755,-,-,-,-,0.0
bash1,0.379,0.752,0.732,-,-,-,-,0.0
vim2,0.483,0.513,0.49,-,-,-,-,0.0
vim3,0.393,0.713,0.7174,-,-,-,-,0.0
bash2,0.49,0.501,0.502,-,-,-,-,0.0
xterm,0.3926,0.6714,0.6822,-,-,-,-,0.0
